ts,serialNo,home,batteryVoltageMilliV,insideTemperatureCentiC,humidityMilliPerc
2018-10-01,VA4202760704,165132,2787.131,1953.0737,575.4918
2018-10-02,VA4202760704,165132,2786.1047,1901.0,550.6371
2018-10-03,VA4202760704,165132,2784.6934,1878.0369,550.09204
2018-10-04,VA4202760704,165132,2773.35,1976.9114,583.6582
2018-10-05,VA4202760704,165132,2776.4314,2041.401,589.7411
2018-10-06,VA4202760704,165132,2775.3801,2053.7368,642.90643
2018-10-07,VA4202760704,165132,2773.6128,2060.555,642.2258
2018-10-08,VA4202760704,165132,2772.2021,2101.6528,664.8290400000002
2018-10-09,VA4202760704,165132,2771.0806,2128.414,687.17206
2018-10-10,VA4202760704,165132,2770.7222,2130.6262,688.7525
2018-10-11,VA4202760704,165132,,2135.1,657.02356
2018-10-12,VA4202760704,165132,,2138.1677,676.1225599999998
2018-10-13,VA4202760704,165132,,2080.6738,653.83685
2018-10-14,VA4202760704,165132,2769.9597,2101.0483,647.29034
2018-10-15,VA4202760704,165132,2770.031,2095.3720000000008,673.54266
2018-10-16,VA4202760704,165132,2767.9932,2062.2,687.3931
2018-10-17,VA4202760704,165132,2763.8882,2056.1887,676.73425
2018-10-18,VA4202760704,165132,2763.394,2044.6848,675.7515
2018-10-19,VA4202760704,165132,2762.195,2036.439,665.7683
2018-10-20,VA4202760704,165132,2753.2993,2021.0282,652.35596
2018-10-21,VA4202760704,165132,2743.9258,2044.0149,657.96533
2018-10-22,VA4202760704,165132,2748.6226,2014.9608,613.42645
2018-10-23,VA4202760704,165132,2750.1516,2001.4899,611.2677
2018-10-24,VA4202760704,165132,2750.422,,605.1256
2018-10-25,VA4202760704,165132,2750.6438,,617.475
2018-10-26,VA4202760704,165132,2750.4,1967.2812,639.7625
2018-10-27,VA4202760704,165132,2750.7593,1970.6754,616.72253
2018-10-28,VA4202760704,165132,2749.0342,1974.2472,612.42206
2018-10-29,VA4202760704,165132,2747.581,1969.9048,604.3
2018-10-30,VA4202760704,165132,2746.1897,1969.375,598.431
2018-10-31,VA4202760704,165132,2745.137,1935.3744,598.2694
2018-11-01,VA4202760704,165132,2745.0566,2007.7854,578.9676
2018-11-02,VA4202760704,165132,2744.7632,1962.5157,638.1684
2018-11-03,VA4202760704,165132,2744.8545,1925.4131,634.91547
2018-11-04,VA4202760704,165132,2744.7305,2032.4141,623.4336
2018-11-05,VA4202760704,165132,2744.4028,1991.5214,615.21326
2018-11-06,VA4202760704,165132,2743.9246,1957.8191,627.2613
2018-11-07,VA4202760704,165132,2742.9631,1988.6083,660.97235
2018-11-08,VA4202760704,165132,2742.1614,1982.9946,657.3924599999998
2018-11-09,VA4202760704,165132,2741.921,1978.2744,676.3163
2018-11-10,VA4202760704,165132,2741.38,1993.655,670.685
2018-11-11,VA4202760704,165132,2742.032,1995.4546,646.98395
2018-11-12,VA4202760704,165132,2741.7183,1986.9955,656.0318
2018-11-13,VA4202760704,165132,2741.5208,1974.4219,626.8698
2018-11-14,VA4202760704,165132,2741.7747,1920.9248,650.54913
2018-11-15,VA4202760704,165132,2741.9138,1897.3907,635.84485
2018-11-16,VA4202760704,165132,2741.51,1901.6653,626.1833
2018-11-17,VA4202760704,165132,2740.4973,1736.4456,634.1917
2018-11-18,VA4202760704,165132,2739.39,1781.7167,585.67334
2018-11-19,VA4202760704,165132,2739.4792,1860.925,568.4708
2018-11-20,VA4202760704,165132,2736.06,1889.7733,580.56665
2018-11-21,VA4202760704,165132,2729.0544,1847.9966,584.10205
2018-11-22,VA4202760704,165132,2727.25,1869.7234,573.5333
2018-11-23,VA4202760704,165132,2725.9329,1856.5376,583.5573
2018-11-24,VA4202760704,165132,2724.6797,1820.6758,588.5
2018-11-25,VA4202760704,165132,2724.7644,1879.9835,569.2727
2018-11-26,VA4202760704,165132,2724.5176,1897.0413,554.5492
2018-11-27,VA4202760704,165132,2723.558,1911.1301,562.9007
2018-11-28,VA4202760704,165132,2723.5557,1940.9885,580.2261
2018-11-29,VA4202760704,165132,2719.6620000000007,1945.0574,591.3412
2018-11-30,VA4202760704,165132,2709.1694,1877.6736,569.7851
2018-12-01,VA4202760704,165132,2705.0042,1856.898,550.9755
2018-12-02,VA4202760704,165132,2703.7725,1919.3373,536.64703
2018-12-03,VA4202760704,165132,2702.231,1967.4811,570.7083
2018-12-04,VA4202760704,165132,2701.5984,1941.8188,557.99603
2018-12-05,VA4202760704,165132,2696.9963,1931.9307,561.3686
2018-12-06,VA4202760704,165132,2697.7937,1948.1984,550.39685
2018-12-07,VA4202760704,165132,2695.8308,1936.0995,583.1094400000002
2018-12-08,VA4202760704,165132,2691.6958,1863.8289,540.6159700000002
2018-12-09,VA4202760704,165132,2700.4712,2011.2401,563.9635
2018-12-10,VA4202760704,165132,2702.3792,1922.0216,548.65704
2018-12-11,VA4202760704,165132,2703.7068,1934.4877,556.2332
2018-12-12,VA4202760704,165132,2703.9902,1881.1438,561.366
2018-12-13,VA4202760704,165132,2704.0974,1875.6931,564.9711
2018-12-14,VA4202760704,165132,2704.8848,1888.8618,537.9408
2018-12-15,VA4202760704,165132,2702.6497,1806.8694,532.40125
2018-12-16,VA4202760704,165132,2701.8928,1862.0552,521.5455
2018-12-17,VA4202760704,165132,2703.0186,1881.1859,505.44983
2018-12-18,VA4202760704,165132,2703.293,1882.5669,550.5764
2018-12-19,VA4202760704,165132,2702.2126,1895.3694,509.5821
2018-12-20,VA4202760704,165132,2701.4587,1926.6094,510.5699
2018-12-21,VA4202760704,165132,2702.4363,1923.4436,478.25455
2018-12-22,VA4202760704,165132,2701.8687,1905.4598,577.8175
2018-12-23,VA4202760704,165132,2700.866,1930.1417,546.62067
2018-12-24,VA4202760704,165132,2700.2017,1891.1542,550.5849599999998
2018-12-25,VA4202760704,165132,2698.3486,1845.2563,520.82355
2018-12-26,VA4202760704,165132,2697.301,1883.8387,556.9713
2018-12-27,VA4202760704,165132,2696.3274,1836.764,545.2641
2018-12-28,VA4202760704,165132,2694.1038,1898.4985,546.4777
2018-12-29,VA4202760704,165132,2696.2517,1876.3822,511.2548
2018-12-30,VA4202760704,165132,2694.7,1897.0466,526.7833
